time[sec],v1,v2[A],v3[A],v4[mV],v5[mV],v6[nA]
93.19999999999898,-2.66,-71.7041015625,-11.0626220703125,-7.799999999999997,2597.906650641025,-14.8773193359375
93.29999999999897,-1.9,-70.8984375,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
93.39999999999897,-3.04,-70.8984375,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.8773193359375
93.49999999999896,-2.2800000000000002,-71.7041015625,-11.444091796875,-7.8999999999999915,2597.906650641025,-15.2587890625
93.59999999999896,-2.2800000000000002,-69.287109375,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.495849609375
93.69999999999895,-2.66,-70.8984375,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.8773193359375
93.79999999999895,-2.66,-72.509765625,-11.0626220703125,-7.799999999999997,2597.906650641025,-14.495849609375
93.89999999999894,-2.66,-72.509765625,-11.0626220703125,-7.799999999999997,2597.906650641025,-15.2587890625
93.99999999999893,-4.18,-74.9267578125,-10.68115234375,-7.699999999999989,2597.906650641025,-14.8773193359375
94.09999999999893,-3.04,-71.7041015625,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
94.19999999999892,-1.9,-73.3154296875,-10.68115234375,-8.0,2597.906650641025,-13.73291015625
94.29999999999892,-2.2800000000000002,-71.7041015625,-11.0626220703125,-8.299999999999997,2597.906650641025,-12.969970703125
94.39999999999891,-2.2800000000000002,-71.7041015625,-11.0626220703125,-8.5,2597.906650641025,-12.969970703125
94.4999999999989,-2.2800000000000002,-70.8984375,-11.444091796875,-8.399999999999991,2597.906650641025,-13.73291015625
94.5999999999989,-3.04,-71.7041015625,-11.8255615234375,-8.399999999999991,2597.906650641025,-13.73291015625
94.6999999999989,-2.2800000000000002,-71.7041015625,-11.444091796875,-8.299999999999997,2597.906650641025,-14.1143798828125
94.79999999999889,-3.04,-71.7041015625,-11.444091796875,-8.099999999999994,2597.906650641025,-14.495849609375
94.89999999999888,-2.66,-72.509765625,-11.0626220703125,-8.099999999999994,2597.906650641025,-14.1143798828125
94.99999999999888,-1.9,-70.0927734375,-11.0626220703125,-8.0,2597.906650641025,-14.495849609375
95.09999999999887,-1.9,-70.8984375,-10.68115234375,-8.0,2597.906650641025,-14.1143798828125
95.19999999999887,-2.2800000000000002,-70.8984375,-10.2996826171875,-7.8999999999999915,2597.906650641025,-13.73291015625
95.29999999999886,-1.1400000000000001,-68.4814453125,-9.5367431640625,-8.0,2597.906650641025,-12.5885009765625
95.39999999999885,-2.2800000000000002,-69.287109375,-9.5367431640625,-8.0,2597.906650641025,-12.969970703125
95.49999999999885,-1.9,-70.0927734375,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.969970703125
95.59999999999884,-2.66,-70.8984375,-9.1552734375,-7.799999999999997,2597.906650641025,-13.3514404296875
95.69999999999884,-2.2800000000000002,-73.3154296875,-9.1552734375,-7.799999999999997,2597.906650641025,-13.3514404296875
95.79999999999883,-2.66,-69.287109375,-9.1552734375,-7.799999999999997,2597.906650641025,-12.969970703125
95.89999999999883,-1.9,-72.509765625,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.73291015625
95.99999999999882,-2.66,-71.7041015625,-9.918212890625,-7.699999999999989,2597.906650641025,-14.1143798828125
96.09999999999881,-2.66,-72.509765625,-9.918212890625,-7.599999999999994,2597.906650641025,-14.495849609375
96.19999999999881,-2.2800000000000002,-69.287109375,-10.2996826171875,-7.699999999999989,2597.906650641025,-14.495849609375
96.2999999999988,-3.42,-73.3154296875,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.1143798828125
96.3999999999988,-2.66,-72.509765625,-10.68115234375,-7.799999999999997,2597.906650641025,-14.495849609375
96.49999999999879,-2.2800000000000002,-71.7041015625,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.8773193359375
96.59999999999879,-3.04,-73.3154296875,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
